Ticker,CIK,Company,Exchange,Country,Currency,Sector,Industry,MarketCap,Price,UpdatedAt,BidPrice,AskPrice,BidSize,AskSize,AfterHoursVolume,QuoteTimestamp,Spread,SpreadPct
VGZ,0000783324,Vista Gold Corp.,AMEX,US,USD,Basic Materials,Gold,194030690.0,1.55,2025-11-05T12:38:51.431256,1.56,1.57,1598.0,100.0,0.0,2025-11-05T12:40:54Z,0.010000000000000009,0.6389776357827481
EARN,0001560672,Ellington Credit Company,NYSE,US,USD,Financial Services,Asset Management,193429854.0,5.15,2025-11-05T12:38:51.431437,5.1,5.17,13.0,13.0,0.0,2025-11-05T12:39:57Z,0.07000000000000028,1.363193768257065
FSP,0001031316,Franklin Street Properties Corp.,AMEX,US,USD,Real Estate,REIT - Office,122354601.0,1.18,2025-11-05T12:38:51.431469,1.17,1.18,4.0,58.0,0.0,2025-11-05T12:39:44Z,0.010000000000000009,0.8510638297872349
IMMP,0001506184,Immutep Limited,NASDAQ,AU,USD,Healthcare,Biotechnology,259057920.0,1.76,2025-11-05T12:38:51.431678,1.75,1.78,130.0,5030.0,94392.0,2025-11-05T12:40:56Z,0.030000000000000027,1.6997167138810214
VUZI,0001463972,Vuzix Corporation,NASDAQ,US,USD,Technology,Consumer Electronics,240965937.0,3.12,2025-11-05T12:38:51.431822,3.04,3.13,1.0,1.0,1324.0,2025-11-05T12:40:42Z,0.08999999999999986,2.917341977309558
BTM,0001901799,Bitcoin Depot Inc.,NASDAQ,US,USD,Financial Services,Financial - Capital Markets,66145963.0,2.46,2025-11-05T12:38:51.431877,2.48,2.49,2.0,2525.0,7399.0,2025-11-05T12:39:43Z,0.010000000000000231,0.4024144869215384
ARBE,0001861841,Arbe Robotics Ltd.,NASDAQ,IL,USD,Technology,Software - Infrastructure,180385372.0,1.66,2025-11-05T12:38:51.432166,1.67,1.68,501.0,1000.0,0.0,2025-11-05T12:34:43Z,0.010000000000000009,0.5970149253731349
ELDN,0001404281,"Eledon Pharmaceuticals, Inc.",NASDAQ,US,USD,Healthcare,Biotechnology,249108184.0,4.16,2025-11-05T12:38:51.663904,4.13,4.2,4.0,2.0,0.0,2025-11-04T21:00:01Z,0.07000000000000028,1.68067226890757
SAVA,0001069530,"Cassava Sciences, Inc.",NASDAQ,US,USD,Healthcare,Biotechnology,142991372.0,2.96,2025-11-05T12:38:51.664059,2.93,2.96,401.0,200.0,0.0,2025-11-05T12:39:44Z,0.029999999999999805,1.0186757215619628
MRCC,0001512931,Monroe Capital Corporation,NASDAQ,US,USD,Financial Services,Asset Management,151664380.0,7.0,2025-11-05T12:38:51.664722,6.9,7.0,100.0,940.0,47137.0,2025-11-05T12:39:07Z,0.09999999999999964,1.4388489208633042
